,chapter_number,word,count
354,1,too,5
355,1,aloud,1
356,1,key,6
357,1,telescope,2
358,1,house,1
359,1,usually,1
360,1,same,1
361,1,curtain,1
362,1,an,2
363,1,distancebut,1
364,1,hurrying,1
365,1,marmalade,1
366,1,out,11
367,1,know,3
368,1,seemed,3
369,1,shrink,1
370,1,whiskers,1
371,1,looked,4
372,1,pine-apple,1
373,1,never,5
374,1,not,16
375,1,box,2
376,1,as,14
377,1,spokefancy,1
378,1,red-hot,1
379,1,while,1
380,1,currants,1
381,1,sat,1
382,1,curtsey,1
383,1,wondering,1
384,1,hand,3
385,1,for,21
386,1,cool,1
387,1,lessons,1
388,1,generally,2
389,1,remember,3
390,1,round,3
391,1,felt,2
392,1,however,3
393,1,lit,1
394,1,alas,2
395,1,didn,2
396,1,four,1
397,1,impossible,1
398,1,walk,1
399,1,answer,1
400,1,book-shelves,1
401,1,soon,4
402,1,sharply,1
403,1,table,5
404,1,air,2
405,1,say,6
406,1,toffee,1
407,1,labelled,1
408,1,brightened,1
409,1,cupboards,2
410,1,minutes,1
411,1,bank,1
412,1,think,11
413,1,dozing,1
414,1,wise,1
415,1,turned,2
416,1,fact,1
417,1,went,7
418,1,wander,1
419,1,work,1
420,1,certain,1
421,1,locked,1
422,1,makes,2
423,1,pegs,1
424,1,person,1
425,1,disappointment,1
426,1,perhaps,1
427,1,tumbling,1
428,1,australia,1
429,1,face,1
430,1,sister,2
431,1,walking,1
432,1,jumped,1
433,1,drink,3
434,1,thump,2
435,1,how,9
436,1,maps,1
437,1,shutting,2
438,1,among,2
439,1,empty,1
440,1,truth,1
441,1,on,15
442,1,knelt,1
443,1,cat,1
444,1,itself,1
445,1,plainly,1
446,1,about,8
447,1,dark,3
448,1,fitted,1
449,1,tell,1
450,1,downward,1
451,1,zealand,1
452,1,dry,1
453,1,happen,2
454,1,rules,2
455,1,peeped,1
456,1,latitude,2
457,1,use,5
458,1,long,3
459,1,am,1
460,1,row,1
461,1,beautifully,2
462,1,neck,1
463,1,taste,1
464,1,some,1
465,1,actually,1
466,1,matter,1
467,1,in,26
468,1,several,2
469,1,anything,2
470,1,mice,1
471,1,wild,1
472,1,smaller,1
473,1,open,1
474,1,i,36
475,1,walked,1
476,1,beds,1
477,1,shoulders,1
478,1,so,14
479,1,finding,2
480,1,why,2
481,1,head,3
482,1,world,1
483,1,now,4
484,1,sitting,1
485,1,nervous,1
486,1,either,6
487,1,passage,3
488,1,sooner,1
489,1,word,1
490,1,take,1
491,1,hoping,1
492,1,had,20
493,1,grand,1
494,1,remained,1
495,1,conversations,2
496,1,followed,1
497,1,can,2
498,1,nor,1
499,1,ask,2
500,1,ought,1
501,1,feeling,1
502,1,them,3
503,1,holding,1
504,1,happened,2
505,1,child,1
506,1,ventured,1
507,1,roast,1
508,1,eyes,2
509,1,asking,1
510,1,fortunately,1
511,1,cats,4
512,1,manage,1
513,1,decided,1
514,1,be,13
515,1,ate,1
516,1,hope,1
517,1,killing,1
518,1,find,2
519,1,is,6
520,1,curious,2
521,1,tears,1
522,1,do,9
523,1,passed,1
